#Time(s) flow thruput(Mb/s)
0.15s 9 0
0.16s 0 363.738
0.16s 1 267.59
0.16s 2 0
0.16s 3 0
0.16s 4 0
0.16s 5 0
0.16s 6 0
0.16s 7 0
0.16s 8 0
0.16s 9 0
0.17s 0 60.2368
0.17s 1 28.96
0.17s 2 0
0.17s 3 0
0.17s 4 0
0.17s 5 0
0.17s 6 0
0.17s 7 0
0.17s 8 0
0.17s 9 0
0.18s 0 280.333
0.18s 1 167.968
0.18s 2 0
0.18s 3 0
0.18s 4 0
0.18s 5 0
0.18s 6 0
0.18s 7 0
0.18s 8 0
0.18s 9 0
0.19s 0 213.146
0.19s 1 166.81
0.19s 2 0
0.19s 3 0
0.19s 4 0
0.19s 5 0
0.19s 6 0
0.19s 7 0
0.19s 8 0
0.19s 9 0
0.2s 0 235.155
0.2s 1 22.0096
0.2s 2 0
0.2s 3 0
0.2s 4 0
0.2s 5 0
0.2s 6 0
0.2s 7 0
0.2s 8 0
0.2s 9 0
0.21s 0 448.301
0.21s 1 134.374
0.21s 2 0
0.21s 3 0
0.21s 4 0
0.21s 5 0
0.21s 6 0
0.21s 7 0
0.21s 8 0
0.21s 9 0
0.22s 0 205.037
0.22s 1 74.1376
0.22s 2 116.998
0.22s 3 0
0.22s 4 0
0.22s 5 0
0.22s 6 0
0.22s 7 0
0.22s 8 0
0.22s 9 0
0.23s 0 52.128
0.23s 1 193.453
0.23s 2 17.376
0.23s 3 0
0.23s 4 0
0.23s 5 0
0.23s 6 0
0.23s 7 0
0.23s 8 0
0.23s 9 0
0.24s 0 91.5136
0.24s 1 62.5536
0.24s 2 105.414
0.24s 3 0
0.24s 4 0
0.24s 5 0
0.24s 6 0
0.24s 7 0
0.24s 8 0
0.24s 9 0
0.25s 0 288.442
0.25s 1 174.918
0.25s 2 171.443
0.25s 3 0
0.25s 4 0
0.25s 5 0
0.25s 6 0
0.25s 7 0
0.25s 8 0
0.25s 9 0
0.26s 0 231.68
0.26s 1 249.056
0.26s 2 254.848
0.26s 3 0
0.26s 4 0
0.26s 5 0
0.26s 6 0
0.26s 7 0
0.26s 8 0
0.26s 9 0
0.27s 0 32.4352
0.27s 1 632.486
0.27s 2 61.3952
0.27s 3 0
0.27s 4 0
0.27s 5 0
0.27s 6 0
0.27s 7 0
0.27s 8 0
0.27s 9 0
0.28s 0 38.2272
0.28s 1 31.2768
0.28s 2 1.1584
0.28s 3 0
0.28s 4 0
0.28s 5 0
0.28s 6 0
0.28s 7 0
0.28s 8 0
0.28s 9 0
0.29s 0 61.3952
0.29s 1 77.6128
0.29s 2 0
0.29s 3 0
0.29s 4 0
0.29s 5 0
0.29s 6 0
0.29s 7 0
0.29s 8 0
0.29s 9 0
0.3s 0 210.829
0.3s 1 165.651
0.3s 2 0
0.3s 3 0
0.3s 4 0
0.3s 5 0
0.3s 6 0
0.3s 7 0
0.3s 8 0
0.3s 9 0
0.31s 0 108.89
0.31s 1 90.3552
0.31s 2 0
0.31s 3 0
0.31s 4 0
0.31s 5 0
0.31s 6 0
0.31s 7 0
0.31s 8 0
0.31s 9 0
0.32s 0 69.504
0.32s 1 97.3056
0.32s 2 1.1584
0.32s 3 250.214
0.32s 4 0
0.32s 5 0
0.32s 6 0
0.32s 7 0
0.32s 8 0
0.32s 9 0
0.33s 0 1.1584
0.33s 1 3.4752
0.33s 2 0
0.33s 3 1.1584
0.33s 4 0
0.33s 5 0
0.33s 6 0
0.33s 7 0
0.33s 8 0
0.33s 9 0
0.34s 0 90.3552
0.34s 1 64.8704
0.34s 2 12.7424
0.34s 3 177.235
0.34s 4 0
0.34s 5 0
0.34s 6 0
0.34s 7 0
0.34s 8 0
0.34s 9 0
0.35s 0 28.96
0.35s 1 167.968
0.35s 2 1.1584
0.35s 3 316.243
0.35s 4 0
0.35s 5 0
0.35s 6 0
0.35s 7 0
0.35s 8 0
0.35s 9 0
0.36s 0 162.176
0.36s 1 112.365
0.36s 2 0
0.36s 3 297.709
0.36s 4 0
0.36s 5 0
0.36s 6 0
0.36s 7 0
0.36s 8 0
0.36s 9 0
0.37s 0 0
0.37s 1 94.9888
0.37s 2 8.1088
0.37s 3 0
0.37s 4 0
0.37s 5 0
0.37s 6 0
0.37s 7 0
0.37s 8 0
0.37s 9 0
0.38s 0 37.0688
0.38s 1 26.6432
0.38s 2 3.4752
0.38s 3 3.4752
0.38s 4 0
0.38s 5 0
0.38s 6 0
0.38s 7 0
0.38s 8 0
0.38s 9 0
0.39s 0 2.3168
0.39s 1 66.0288
0.39s 2 1.1584
0.39s 3 71.8208
0.39s 4 0
0.39s 5 0
0.39s 6 0
0.39s 7 0
0.39s 8 0
0.39s 9 0
0.4s 0 1.1584
0.4s 1 110.048
0.4s 2 0
0.4s 3 1.1584
0.4s 4 0
0.4s 5 0
0.4s 6 0
0.4s 7 0
0.4s 8 0
0.4s 9 0
0.41s 0 0
0.41s 1 25.4848
0.41s 2 0
0.41s 3 0
0.41s 4 0
0.41s 5 0
0.41s 6 0
0.41s 7 0
0.41s 8 0
0.41s 9 0
0.42s 0 9.2672
0.42s 1 309.293
0.42s 2 0
0.42s 3 3.4752
0.42s 4 0
0.42s 5 0
0.42s 6 0
0.42s 7 0
0.42s 8 0
0.42s 9 0
0.43s 0 13.9008
0.43s 1 113.523
0.43s 2 0
0.43s 3 2.3168
0.43s 4 32.4352
0.43s 5 0
0.43s 6 0
0.43s 7 0
0.43s 8 0
0.43s 9 0
0.44s 0 1.1584
0.44s 1 24.3264
0.44s 2 0
0.44s 3 385.747
0.44s 4 133.216
0.44s 5 0
0.44s 6 0
0.44s 7 0
0.44s 8 0
0.44s 9 0
0.45s 0 0
0.45s 1 69.504
0.45s 2 38.2272
0.45s 3 211.987
0.45s 4 83.4048
0.45s 5 0
0.45s 6 0
0.45s 7 0
0.45s 8 0
0.45s 9 0
0.46s 0 203.878
0.46s 1 44.0192
0.46s 2 0
0.46s 3 1.1584
0.46s 4 97.3056
0.46s 5 0
0.46s 6 0
0.46s 7 0
0.46s 8 0
0.46s 9 0
0.47s 0 56.7616
0.47s 1 32.4352
0.47s 2 23.168
0.47s 3 45.1776
0.47s 4 63.712
0.47s 5 0
0.47s 6 0
0.47s 7 0
0.47s 8 0
0.47s 9 0
0.48s 0 50.9696
0.48s 1 2.3168
0.48s 2 0
0.48s 3 60.2368
0.48s 4 3.4752
0.48s 5 0
0.48s 6 0
0.48s 7 0
0.48s 8 0
0.48s 9 0
0.49s 0 38.2272
0.49s 1 22.0096
0.49s 2 0
0.49s 3 56.7616
0.49s 4 6.9504
0.49s 5 0
0.49s 6 0
0.49s 7 0
0.49s 8 0
0.49s 9 0
0.5s 0 9.2672
0.5s 1 5.792
0.5s 2 1.1584
0.5s 3 1.1584
0.5s 4 22.0096
0.5s 5 0
0.5s 6 0
0.5s 7 0
0.5s 8 0
0.5s 9 0
0.51s 0 8.1088
0.51s 1 1.1584
0.51s 2 0
0.51s 3 172.602
0.51s 4 129.741
0.51s 5 0
0.51s 6 0
0.51s 7 0
0.51s 8 0
0.51s 9 0
0.52s 0 0
0.52s 1 0
0.52s 2 0
0.52s 3 49.8112
0.52s 4 30.1184
0.52s 5 0
0.52s 6 0
0.52s 7 0
0.52s 8 0
0.52s 9 0
0.53s 0 1.1584
0.53s 1 1.1584
0.53s 2 0
0.53s 3 34.752
0.53s 4 82.2464
0.53s 5 106.573
0.53s 6 0
0.53s 7 0
0.53s 8 0
0.53s 9 0
0.54s 0 0
0.54s 1 0
0.54s 2 373.005
0.54s 3 4.6336
0.54s 4 13.9008
0.54s 5 15.0592
0.54s 6 0
0.54s 7 0
0.54s 8 0
0.54s 9 0
0.55s 0 5.792
0.55s 1 0
0.55s 2 228.205
0.55s 3 24.3264
0.55s 4 1.1584
0.55s 5 22.0096
0.55s 6 0
0.55s 7 0
0.55s 8 0
0.55s 9 0
0.56s 0 0
0.56s 1 305.818
0.56s 2 2.3168
0.56s 3 2.3168
0.56s 4 0
0.56s 5 2.3168
0.56s 6 0
0.56s 7 0
0.56s 8 0
0.56s 9 0
0.57s 0 1.1584
0.57s 1 6.9504
0.57s 2 0
0.57s 3 10.4256
0.57s 4 1.1584
0.57s 5 17.376
0.57s 6 0
0.57s 7 0
0.57s 8 0
0.57s 9 0
0.58s 0 4.6336
0.58s 1 0
0.58s 2 92.672
0.58s 3 32.4352
0.58s 4 0
0.58s 5 31.2768
0.58s 6 0
0.58s 7 0
0.58s 8 0
0.58s 9 0
0.59s 0 1.1584
0.59s 1 0
0.59s 2 66.0288
0.59s 3 1.1584
0.59s 4 0
0.59s 5 17.376
0.59s 6 0
0.59s 7 0
0.59s 8 0
0.59s 9 0
0.6s 0 0
0.6s 1 34.752
0.6s 2 1.1584
0.6s 3 0
0.6s 4 104.256
0.6s 5 2.3168
0.6s 6 0
0.6s 7 0
0.6s 8 0
0.6s 9 0
0.61s 0 0
0.61s 1 1.1584
0.61s 2 75.296
0.61s 3 5.792
0.61s 4 0
0.61s 5 1.1584
0.61s 6 0
0.61s 7 0
0.61s 8 0
0.61s 9 0
0.62s 0 1.1584
0.62s 1 17.376
0.62s 2 13.9008
0.62s 3 1.1584
0.62s 4 1.1584
0.62s 5 4.6336
0.62s 6 0
0.62s 7 0
0.62s 8 0
0.62s 9 0
0.63s 0 0
0.63s 1 89.1968
0.63s 2 48.6528
0.63s 3 0
0.63s 4 46.336
0.63s 5 66.0288
0.63s 6 0
0.63s 7 0
0.63s 8 0
0.63s 9 0
0.64s 0 208.512
0.64s 1 0
0.64s 2 2.3168
0.64s 3 0
0.64s 4 1.1584
0.64s 5 83.4048
0.64s 6 26.6432
0.64s 7 0
0.64s 8 0
0.64s 9 0
0.65s 0 133.216
0.65s 1 9.2672
0.65s 2 0
0.65s 3 1.1584
0.65s 4 0
0.65s 5 69.504
0.65s 6 1.1584
0.65s 7 0
0.65s 8 0
0.65s 9 0
0.66s 0 4.6336
0.66s 1 0
0.66s 2 2.3168
0.66s 3 0
0.66s 4 13.9008
0.66s 5 67.1872
0.66s 6 0
0.66s 7 0
0.66s 8 0
0.66s 9 0
0.67s 0 101.939
0.67s 1 0
0.67s 2 0
0.67s 3 1.1584
0.67s 4 72.9792
0.67s 5 23.168
0.67s 6 1.1584
0.67s 7 0
0.67s 8 0
0.67s 9 0
0.68s 0 20.8512
0.68s 1 8.1088
0.68s 2 1.1584
0.68s 3 0
0.68s 4 42.8608
0.68s 5 70.6624
0.68s 6 8.1088
0.68s 7 0
0.68s 8 0
0.68s 9 0
0.69s 0 1.1584
0.69s 1 10.4256
0.69s 2 1.1584
0.69s 3 35.9104
0.69s 4 0
0.69s 5 0
0.69s 6 0
0.69s 7 0
0.69s 8 0
0.69s 9 0
0.7s 0 64.8704
0.7s 1 1.1584
0.7s 2 1.1584
0.7s 3 15.0592
0.7s 4 0
0.7s 5 0
0.7s 6 0
0.7s 7 0
0.7s 8 0
0.7s 9 0
0.71s 0 123.949
0.71s 1 0
0.71s 2 1.1584
0.71s 3 45.1776
0.71s 4 1.1584
0.71s 5 0
0.71s 6 0
0.71s 7 0
0.71s 8 0
0.71s 9 0
0.72s 0 1.1584
0.72s 1 11.584
0.72s 2 1.1584
0.72s 3 3.4752
0.72s 4 1.1584
0.72s 5 0
0.72s 6 0
0.72s 7 0
0.72s 8 0
0.72s 9 0
0.73s 0 1.1584
0.73s 1 8.1088
0.73s 2 0
0.73s 3 5.792
0.73s 4 26.6432
0.73s 5 0
0.73s 6 0
0.73s 7 0
0.73s 8 0
0.73s 9 0
0.74s 0 0
0.74s 1 1.1584
0.74s 2 1.1584
0.74s 3 1.1584
0.74s 4 1.1584
0.74s 5 0
0.74s 6 0
0.74s 7 238.63
0.74s 8 0
0.74s 9 0
0.75s 0 0
0.75s 1 1.1584
0.75s 2 0
0.75s 3 1.1584
0.75s 4 0
0.75s 5 26.6432
0.75s 6 4.6336
0.75s 7 41.7024
0.75s 8 0
0.75s 9 0
0.76s 0 3.4752
0.76s 1 1.1584
0.76s 2 4.6336
0.76s 3 2.3168
0.76s 4 3.4752
0.76s 5 23.168
0.76s 6 8.1088
0.76s 7 5.792
0.76s 8 0
0.76s 9 0
0.77s 0 17.376
0.77s 1 1.1584
0.77s 2 1.1584
0.77s 3 1.1584
0.77s 4 20.8512
0.77s 5 49.8112
0.77s 6 17.376
0.77s 7 45.1776
0.77s 8 0
0.77s 9 0
0.78s 0 1.1584
0.78s 1 1.1584
0.78s 2 1.1584
0.78s 3 1.1584
0.78s 4 10.4256
0.78s 5 0
0.78s 6 1.1584
0.78s 7 2.3168
0.78s 8 0
0.78s 9 0
0.79s 0 1.1584
0.79s 1 0
0.79s 2 0
0.79s 3 1.1584
0.79s 4 1.1584
0.79s 5 1.1584
0.79s 6 0
0.79s 7 61.3952
0.79s 8 0
0.79s 9 0
0.8s 0 0
0.8s 1 1.1584
0.8s 2 1.1584
0.8s 3 1.1584
0.8s 4 0
0.8s 5 0
0.8s 6 8.1088
0.8s 7 0
0.8s 8 0
0.8s 9 0
0.81s 0 13.9008
0.81s 1 0
0.81s 2 0
0.81s 3 0
0.81s 4 6.9504
0.81s 5 1.1584
0.81s 6 55.6032
0.81s 7 26.6432
0.81s 8 0
0.81s 9 0
0.82s 0 1.1584
0.82s 1 1.1584
0.82s 2 0
0.82s 3 1.1584
0.82s 4 1.1584
0.82s 5 6.9504
0.82s 6 246.739
0.82s 7 1.1584
0.82s 8 0
0.82s 9 0
0.83s 0 0
0.83s 1 1.1584
0.83s 2 1.1584
0.83s 3 0
0.83s 4 2.3168
0.83s 5 1.1584
0.83s 6 54.4448
0.83s 7 0
0.83s 8 0
0.83s 9 0
0.84s 0 1.1584
0.84s 1 0
0.84s 2 1.1584
0.84s 3 0
0.84s 4 1.1584
0.84s 5 1.1584
0.84s 6 23.168
0.84s 7 0
0.84s 8 0
0.84s 9 0
0.85s 0 12.7424
0.85s 1 1.1584
0.85s 2 1.1584
0.85s 3 1.1584
0.85s 4 0
0.85s 5 1.1584
0.85s 6 46.336
0.85s 7 42.8608
0.85s 8 13.9008
0.85s 9 0
0.86s 0 152.909
0.86s 1 1.1584
0.86s 2 1.1584
0.86s 3 1.1584
0.86s 4 0
0.86s 5 1.1584
0.86s 6 15.0592
0.86s 7 142.483
0.86s 8 18.5344
0.86s 9 0
0.87s 0 53.2864
0.87s 1 1.1584
0.87s 2 0
0.87s 3 0
0.87s 4 10.4256
0.87s 5 1.1584
0.87s 6 5.792
0.87s 7 37.0688
0.87s 8 6.9504
0.87s 9 0
0.88s 0 28.96
0.88s 1 1.1584
0.88s 2 1.1584
0.88s 3 1.1584
0.88s 4 2.3168
0.88s 5 1.1584
0.88s 6 66.0288
0.88s 7 27.8016
0.88s 8 1.1584
0.88s 9 0
0.89s 0 12.7424
0.89s 1 1.1584
0.89s 2 0
0.89s 3 0
0.89s 4 1.1584
0.89s 5 1.1584
0.89s 6 24.3264
0.89s 7 61.3952
0.89s 8 1.1584
0.89s 9 0
0.9s 0 1.1584
0.9s 1 1.1584
0.9s 2 1.1584
0.9s 3 1.1584
0.9s 4 0
0.9s 5 0
0.9s 6 1.1584
0.9s 7 1.1584
0.9s 8 0
0.9s 9 0
0.91s 0 0
0.91s 1 1.1584
0.91s 2 1.1584
0.91s 3 1.1584
0.91s 4 0
0.91s 5 0
0.91s 6 11.584
0.91s 7 0
0.91s 8 0
0.91s 9 0
0.92s 0 0
0.92s 1 1.1584
0.92s 2 1.1584
0.92s 3 1.1584
0.92s 4 60.2368
0.92s 5 1.1584
0.92s 6 1.1584
0.92s 7 10.4256
0.92s 8 1.1584
0.92s 9 0
0.93s 0 0
0.93s 1 0
0.93s 2 0
0.93s 3 1.1584
0.93s 4 39.3856
0.93s 5 1.1584
0.93s 6 1.1584
0.93s 7 1.1584
0.93s 8 0
0.93s 9 0
0.94s 0 0
0.94s 1 0
0.94s 2 1.1584
0.94s 3 1.1584
0.94s 4 11.584
0.94s 5 0
0.94s 6 1.1584
0.94s 7 1.1584
0.94s 8 0
0.94s 9 0
0.95s 0 0
0.95s 1 1.1584
0.95s 2 0
0.95s 3 1.1584
0.95s 4 52.128
0.95s 5 1.1584
0.95s 6 0
0.95s 7 0
0.95s 8 1.1584
0.95s 9 0
0.96s 0 121.632
0.96s 1 1.1584
0.96s 2 1.1584
0.96s 3 1.1584
0.96s 4 4.6336
0.96s 5 0
0.96s 6 0
0.96s 7 0
0.96s 8 1.1584
0.96s 9 2.3168
0.97s 0 49.8112
0.97s 1 0
0.97s 2 0
0.97s 3 0
0.97s 4 46.336
0.97s 5 1.1584
0.97s 6 0
0.97s 7 0
0.97s 8 0
0.97s 9 15.0592
0.98s 0 28.96
0.98s 1 0
0.98s 2 1.1584
0.98s 3 1.1584
0.98s 4 0
0.98s 5 0
0.98s 6 0
0.98s 7 0
0.98s 8 0
0.98s 9 1.1584
0.99s 0 33.5936
0.99s 1 1.1584
0.99s 2 0
0.99s 3 0
0.99s 4 4.6336
0.99s 5 1.1584
0.99s 6 0
0.99s 7 0
0.99s 8 1.1584
0.99s 9 0
1s 0 1.1584
1s 1 0
1s 2 0
1s 3 1.1584
1s 4 16.2176
1s 5 1.1584
1s 6 0
1s 7 0
1s 8 0
1s 9 1.1584
1.01s 0 0
1.01s 1 1.1584
1.01s 2 0
1.01s 3 1.1584
1.01s 4 0
1.01s 5 0
1.01s 6 11.584
1.01s 7 1.1584
1.01s 8 0
1.01s 9 1.1584
1.02s 0 3.4752
1.02s 1 1.1584
1.02s 2 0
1.02s 3 0
1.02s 4 0
1.02s 5 1.1584
1.02s 6 37.0688
1.02s 7 0
1.02s 8 0
1.02s 9 0
1.03s 0 0
1.03s 1 0
1.03s 2 0
1.03s 3 0
1.03s 4 0
1.03s 5 0
1.03s 6 2.3168
1.03s 7 1.1584
1.03s 8 1.1584
1.03s 9 1.1584
1.04s 0 20.8512
1.04s 1 1.1584
1.04s 2 1.1584
1.04s 3 0
1.04s 4 0
1.04s 5 1.1584
1.04s 6 1.1584
1.04s 7 1.1584
1.04s 8 0
1.04s 9 1.1584
1.05s 0 8.1088
1.05s 1 0
1.05s 2 1.1584
1.05s 3 0
1.05s 4 0
1.05s 5 1.1584
1.05s 6 0
1.05s 7 0
1.05s 8 1.1584
1.05s 9 0
1.06s 0 55.6032
1.06s 1 1.1584
1.06s 2 0
1.06s 3 1.1584
1.06s 4 0
1.06s 5 1.1584
1.06s 6 1.1584
1.06s 7 0
1.06s 8 0
1.06s 9 1.1584
1.07s 0 0
1.07s 1 1.1584
1.07s 2 0
1.07s 3 0
1.07s 4 93.8304
1.07s 5 1.1584
1.07s 6 55.6032
1.07s 7 1.1584
1.07s 8 0
1.07s 9 0
1.08s 0 2.3168
1.08s 1 0
1.08s 2 1.1584
1.08s 3 0
1.08s 4 25.4848
1.08s 5 1.1584
1.08s 6 18.5344
1.08s 7 0
1.08s 8 1.1584
1.08s 9 1.1584
1.09s 0 1.1584
1.09s 1 1.1584
1.09s 2 0
1.09s 3 1.1584
1.09s 4 46.336
1.09s 5 1.1584
1.09s 6 41.7024
1.09s 7 0
1.09s 8 0
1.09s 9 1.1584
1.1s 0 0
1.1s 1 0
1.1s 2 0
1.1s 3 0
1.1s 4 20.8512
1.1s 5 1.1584
1.1s 6 10.4256
1.1s 7 0
1.1s 8 0
1.1s 9 1.1584
1.11s 0 1.1584
1.11s 1 1.1584
1.11s 2 0
1.11s 3 1.1584
1.11s 4 50.9696
1.11s 5 1.1584
1.11s 6 3.4752
1.11s 7 1.1584
1.11s 8 0
1.11s 9 1.1584
1.12s 0 0
1.12s 1 1.1584
1.12s 2 0
1.12s 3 1.1584
1.12s 4 0
1.12s 5 1.1584
1.12s 6 1.1584
1.12s 7 0
1.12s 8 0
1.12s 9 1.1584
1.13s 0 1.1584
1.13s 1 0
1.13s 2 1.1584
1.13s 3 0
1.13s 4 1.1584
1.13s 5 1.1584
1.13s 6 1.1584
1.13s 7 1.1584
1.13s 8 0
1.13s 9 0
1.14s 0 5.792
1.14s 1 0
1.14s 2 0
1.14s 3 1.1584
1.14s 4 1.1584
1.14s 5 0
1.14s 6 8.1088
1.14s 7 1.1584
1.14s 8 0
1.14s 9 1.1584
1.15s 0 1.1584
1.15s 1 1.1584
1.15s 2 1.1584
1.15s 3 0
1.15s 4 15.0592
1.15s 5 1.1584
1.15s 6 1.1584
1.15s 7 1.1584
1.15s 8 0
1.15s 9 0
1.16s 0 1.1584
1.16s 1 1.1584
1.16s 2 0
1.16s 3 0
1.16s 4 11.584
1.16s 5 1.1584
1.16s 6 0
1.16s 7 1.1584
1.16s 8 1.1584
1.16s 9 1.1584
1.17s 0 0
1.17s 1 0
1.17s 2 0
1.17s 3 0
1.17s 4 2.3168
1.17s 5 1.1584
1.17s 6 2.3168
1.17s 7 0
1.17s 8 1.1584
1.17s 9 1.1584
1.18s 0 0
1.18s 1 0
1.18s 2 1.1584
1.18s 3 0
1.18s 4 1.1584
1.18s 5 1.1584
1.18s 6 0
1.18s 7 1.1584
1.18s 8 1.1584
1.18s 9 1.1584
1.19s 0 1.1584
1.19s 1 1.1584
1.19s 2 1.1584
1.19s 3 0
1.19s 4 1.1584
1.19s 5 1.1584
1.19s 6 1.1584
1.19s 7 0
1.19s 8 0
1.19s 9 1.1584
1.2s 0 0
1.2s 1 0
1.2s 2 1.1584
1.2s 3 1.1584
1.2s 4 1.1584
1.2s 5 1.1584
1.2s 6 1.1584
1.2s 7 1.1584
1.2s 8 0
1.2s 9 0
1.21s 0 1.1584
1.21s 1 1.1584
1.21s 2 1.1584
1.21s 3 1.1584
1.21s 4 1.1584
1.21s 5 1.1584
1.21s 6 0
1.21s 7 1.1584
1.21s 8 0
1.21s 9 1.1584
1.22s 0 1.1584
1.22s 1 1.1584
1.22s 2 1.1584
1.22s 3 1.1584
1.22s 4 1.1584
1.22s 5 1.1584
1.22s 6 1.1584
1.22s 7 1.1584
1.22s 8 0
1.22s 9 1.1584
1.23s 0 1.1584
1.23s 1 1.1584
1.23s 2 1.1584
1.23s 3 1.1584
1.23s 4 0
1.23s 5 1.1584
1.23s 6 0
1.23s 7 0
1.23s 8 0
1.23s 9 1.1584
1.24s 0 1.1584
1.24s 1 1.1584
1.24s 2 1.1584
1.24s 3 1.1584
1.24s 4 0
1.24s 5 1.1584
1.24s 6 1.1584
1.24s 7 0
1.24s 8 0
1.24s 9 1.1584
1.25s 0 0
1.25s 1 1.1584
1.25s 2 1.1584
1.25s 3 1.1584
1.25s 4 1.1584
1.25s 5 1.1584
1.25s 6 1.1584
1.25s 7 1.1584
1.25s 8 0
1.25s 9 0
1.26s 0 1.1584
1.26s 1 1.1584
1.26s 2 1.1584
1.26s 3 0
1.26s 4 0
1.26s 5 0
1.26s 6 1.1584
1.26s 7 0
1.26s 8 0
1.26s 9 0
1.27s 0 0
1.27s 1 1.1584
1.27s 2 1.1584
1.27s 3 1.1584
1.27s 4 1.1584
1.27s 5 1.1584
1.27s 6 1.1584
1.27s 7 0
1.27s 8 0
1.27s 9 1.1584
1.28s 0 0
1.28s 1 1.1584
1.28s 2 0
1.28s 3 1.1584
1.28s 4 1.1584
1.28s 5 1.1584
1.28s 6 1.1584
1.28s 7 1.1584
1.28s 8 0
1.28s 9 0
1.29s 0 0
1.29s 1 1.1584
1.29s 2 0
1.29s 3 1.1584
1.29s 4 1.1584
1.29s 5 0
1.29s 6 1.1584
1.29s 7 0
1.29s 8 0
1.29s 9 0
1.3s 0 0
1.3s 1 1.1584
1.3s 2 0
1.3s 3 1.1584
1.3s 4 1.1584
1.3s 5 0
1.3s 6 1.1584
1.3s 7 1.1584
1.3s 8 0
1.3s 9 1.1584
1.31s 0 0
1.31s 1 1.1584
1.31s 2 1.1584
1.31s 3 0
1.31s 4 1.1584
1.31s 5 0
1.31s 6 1.1584
1.31s 7 1.1584
1.31s 8 0
1.31s 9 0
1.32s 0 1.1584
1.32s 1 0
1.32s 2 1.1584
1.32s 3 0
1.32s 4 1.1584
1.32s 5 0
1.32s 6 1.1584
1.32s 7 1.1584
1.32s 8 0
1.32s 9 0
1.33s 0 1.1584
1.33s 1 0
1.33s 2 1.1584
1.33s 3 1.1584
1.33s 4 1.1584
1.33s 5 0
1.33s 6 0
1.33s 7 1.1584
1.33s 8 1.1584
1.33s 9 1.1584
1.34s 0 1.1584
1.34s 1 0
1.34s 2 1.1584
1.34s 3 1.1584
1.34s 4 1.1584
1.34s 5 0
1.34s 6 1.1584
1.34s 7 1.1584
1.34s 8 1.1584
1.34s 9 1.1584
1.35s 0 1.1584
1.35s 1 1.1584
1.35s 2 0
1.35s 3 1.1584
1.35s 4 1.1584
1.35s 5 1.1584
1.35s 6 0
1.35s 7 1.1584
1.35s 8 1.1584
1.35s 9 1.1584
1.36s 0 0
1.36s 1 0
1.36s 2 0
1.36s 3 1.1584
1.36s 4 1.1584
1.36s 5 1.1584
1.36s 6 1.1584
1.36s 7 1.1584
1.36s 8 0
1.36s 9 1.1584
1.37s 0 0
1.37s 1 0
